"sales_id","tanggal","hari","bulan","tahun","kuartal","product_name","category","customer_name","payment_method","quantity","unit_price","total_price","review_rating"
"21","2024-06-15","15","6","2024","2","Chair","Office Supplies","Customer C7824","Online","2",NULL,"1118.30","1"
"146","2024-08-14","14","8","2024","3","Chair","Office Supplies","Customer C8446","Online","6",NULL,"1743.00","2"
"194","2023-07-31","31","7","2023","3","Chair","Office Supplies","Customer C9700","Online","1",NULL,"455.62","1"
"224","2024-09-10","10","9","2024","3","Chair","Office Supplies","Customer C8001","Online","5",NULL,"3868.55","3"
"252","2023-05-31","31","5","2023","2","Chair","Office Supplies","Customer C3656","Online","4",NULL,"1018.56","5"
"272","2023-04-03","3","4","2023","2","Chair","Office Supplies","Customer C9620","Online","5",NULL,"1923.90","4"
"274","2023-12-22","22","12","2023","4","Chair","Office Supplies","Customer C1675","Online","7",NULL,"4586.61","2"
"312","2025-01-31","31","1","2025","1","Chair","Office Supplies","Customer C9209","Online","6",NULL,"2125.02","2"
"328","2023-01-24","24","1","2023","1","Chair","Office Supplies","Customer C4745","Online","7",NULL,"1069.95","4"
"341","2024-12-25","25","12","2024","4","Chair","Office Supplies","Customer C5898","Online","3",NULL,"498.48","1"
"388","2023-06-17","17","6","2023","2","Chair","Office Supplies","Customer C7896","Online","2",NULL,"1169.04","1"
"390","2024-04-04","4","4","2024","2","Chair","Office Supplies","Customer C8813","Online","2",NULL,"115.20","3"
"463","2024-01-07","7","1","2024","1","Chair","Office Supplies","Customer C6584","Online","1",NULL,"656.20","4"
"504","2024-06-15","15","6","2024","2","Chair","Office Supplies","Customer C4069","Online","6",NULL,"3393.24","1"
"507","2024-12-15","15","12","2024","4","Chair","Office Supplies","Customer C7544","Online","7",NULL,"4093.60","4"
"560","2025-01-12","12","1","2025","1","Chair","Office Supplies","Customer C1694","Online","8",NULL,"5406.48","2"
"609","2023-05-12","12","5","2023","2","Chair","Office Supplies","Customer C1326","Online","6",NULL,"3257.94","2"
"613","2023-12-28","28","12","2023","4","Chair","Office Supplies","Customer C8299","Online","1",NULL,"770.15","4"
"654","2023-11-25","25","11","2023","4","Chair","Office Supplies","Customer C6729","Online","3",NULL,"310.83","4"
"658","2023-02-18","18","2","2023","1","Chair","Office Supplies","Customer C5595","Online","3",NULL,"990.81","2"
"682","2025-06-30","30","6","2025","2","Chair","Office Supplies","Customer C1946","Online","3",NULL,"423.84","5"
